Name,Hake F,Mackerel F,Norway Pout F,Sprat F,Sole F,Saithe F,Plaice F,Whiting F,Haddock F,Cod F,Sandeel F,Herring F,Turbot F,Turbot B,Hake B,Mackerel B,Norway Pout B,Sprat B,Sole B,Saithe B,Plaice B,Whiting B,Haddock B,Cod B,Sandeel B,Herring B,Hake C,Mackerel C,Norway Pout C,Sprat C,Sole C,Saithe C,Plaice C,Whiting C,Haddock C,Cod C,Sandeel C,Herring C,Auk B,Fulmar B,Gull B,Gannet B,Harbour Porpoise B,Minke Whale B,White-Beaked Dolphin B,Harbour Seal B,Grey Seal B
Pool Code,19,27,22,25,33,17,32,13,15,11,28,23,31,31,19,27,22,25,33,17,32,13,15,11,28,23,19,27,22,25,33,17,32,13,15,11,28,23,6,7,8,9,2,1,3,5,4
Type,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
2004,0.83,0.493,0.495,1.953,0.564195,0.365,0.476972,0.185,0.233,0.86,0.725,0.2337,0.64,0.004958208,0.111911502,0.817696168,0.128692188,2.897148288,0.093864007,0.515442853,0.676692612,0.321879102,0.549478164,0.082662735,0.718157922,4.852507419,0.085164249,1.14868,0.023455652,0.556459583,0.034935912,0.09942969,0.181443656,0.044034145,0.087226206,0.029028886,0.695518521,0.775842443,0.001421623,0.000371408,0.001254335,0.000874266,0.009068941,0.007109404,0.001589394,0.003561587,0.079607814
2005,0.95,0.377,0.001,0.993999999,0.54901,0.376,0.3868582,0.166,0.296,0.8,0.983,0.2517,0.57,0.00505212,0.104737576,0.763186105,0.113506099,2.446669307,0.072986936,0.500568939,0.648209777,0.286703974,0.405165146,0.087584128,0.893092949,4.463160991,0.089088433,0.955676522,7.3E-05,0.621455167,0.030462058,0.10941554,0.168765988,0.037900832,0.077134187,0.034382116,0.421526997,0.876324744,0.001318033,0.000337761,0.001200589,0.000852962,0.009354478,0.006161392,0.00140882,0.003892216,0.092250001
2006,0.84,0.343,0.797,1.235,0.5121976,0.391,0.3329858,0.199,0.5,0.74,1.204,0.2241,0.44,0.005499071,0.098494087,0.845338653,0.327391339,2.367233079,0.071712909,0.521616246,0.735009584,0.265149715,0.278330386,0.080557704,0.582127034,3.634468826,0.075275049,0.836836522,0.080961739,0.199917196,0.023456996,0.112141694,0.1861417,0.048248994,0.080597693,0.026392782,0.821885772,0.679339037,0.001232389,0.000307069,0.001136992,0.000832562,0.009769191,0.005733939,0.001342437,0.004127998,0.093042188
2007,0.74,0.393,0.077,1.580999999,0.4623276,0.371,0.2962204,0.192,0.422,0.69,0.435,0.1944,0.41,0.006888622,0.110243673,0.939051201,0.301926989,3.802747303,0.079572331,0.478245631,0.755896654,0.234265545,0.228278221,0.13872389,0.691382234,2.94656327,0.082120733,1.019488696,0.01008,0.227855467,0.027258467,0.096339303,0.143110498,0.035395805,0.081089701,0.044223237,0.374402259,0.53661232,0.001161661,0.000279038,0.001065927,0.000812791,0.010340181,0.005732506,0.001376477,0.004391699,0.103373438
2008,0.6,0.378,0.141999999,1.076,0.4277968,0.436,0.2546518,0.186,0.248,0.66,0.824,0.1219,0.38,0.008399909,0.139139376,1.118649963,0.422873088,2.405419644,0.08223455,0.486772067,0.918916698,0.242298413,0.482643393,0.151411995,1.013018734,3.085387093,0.088672574,1.083765217,0.060598261,0.170390791,0.026207986,0.112117584,0.149320443,0.03706626,0.057484535,0.043496555,0.800714134,0.340423977,0.001110665,0.000254492,0.000992239,0.00079861,0.011102682,0.006142748,0.00151522,0.005033072,0.127846876
2009,0.48,0.342,0.256,0.802000001,0.42297,0.439,0.2157324,0.215,0.198,0.65,1.033,0.07059,0.43,0.010354671,0.221160391,1.209038536,0.678561811,3.169986398,0.079168656,0.474978152,1.094849891,0.257436324,0.396469495,0.162778799,1.212805995,3.64592413,0.119458736,1.283424348,0.079674783,0.435769566,0.025986343,0.101651255,0.153478816,0.037306396,0.057735528,0.045284863,0.993844279,0.222368,0.001102973,0.000236204,0.00092428,0.000808878,0.012092613,0.007004419,0.001773363,0.005331384,0.134751564
2010,0.36,0.335,0.265,0.679,0.4372436,0.424,0.1964252,0.244,0.216,0.58,0.527,0.0752,0.41,0.009879893,0.36035542,1.274585868,0.972650538,4.177540018,0.096192329,0.446799018,1.278035714,0.306978407,0.367599935,0.160778749,0.952124648,3.871460475,0.142980292,1.522634783,0.227961739,0.337650844,0.023473759,0.092554892,0.165737392,0.045187586,0.054695635,0.040489592,1.026334323,0.247672404,0.001144091,0.000223593,0.000863986,0.000847742,0.013336326,0.008411037,0.002196372,0.005364084,0.148514064
2011,0.29,0.332,0.162,0.81,0.4370106,0.429,0.1981524,0.209,0.314,0.48,0.584,0.09786,0.37,0.009255552,0.465913867,1.481984879,0.358726995,3.64634388,0.121460189,0.358590484,1.306123392,0.28438154,0.263721693,0.174118455,3.607222936,4.632790552,0.176199962,1.646366957,0.01190087,0.31891999,0.021391424,0.087794887,0.167425701,0.040243143,0.0597736,0.037227037,1.088944173,0.298982207,0.001232419,0.000215064,0.000812857,0.000914282,0.01478936,0.010356982,0.00275616,0.005801609,0.168295314
2012,0.24,0.321,0.438,0.935,0.3883598,0.39,0.207383,0.208,0.188,0.45,0.108,0.1591,0.35,0.01018076,0.502647846,1.408421647,0.221422632,1.635135116,0.08818529,0.324588045,1.398041758,0.297594931,0.545234687,0.170067673,1.355187339,4.884133856,0.170264735,1.55191826,0.046864348,0.230844263,0.021609342,0.075036385,0.201210361,0.039656582,0.051990158,0.033554366,0.157504824,0.573877175,0.001329933,0.000206395,0.000773816,0.000988244,0.016119608,0.012364434,0.003108341,0.006526165,0.185728127
2013,0.24,0.353,0.818,0.369999999,0.3168306,0.348,0.2097138,0.201,0.204,0.44,0.68,0.1877,0.33,0.011935523,0.524715711,1.246732202,0.536460927,2.543964295,0.091195438,0.342582134,1.572917539,0.28446954,0.435356445,0.180084217,0.82360438,4.452417337,0.155461046,1.620403477,0.142798261,0.217646428,0.024468362,0.075967204,0.178974941,0.034869605,0.056680751,0.034841513,0.732106963,0.675139678,0.001419472,0.00019657,0.000742886,0.001063848,0.017183336,0.014275105,0.003086081,0.006721024,0.19871719
2014,0.23,0.398,0.708,0.676000001,0.2595188,0.314,0.2053652,0.23,0.336,0.44,0.406,0.1921,0.33,0.014158108,0.58928452,1.243217668,0.236382634,6.499494994,0.095526028,0.399301968,1.785757611,0.269601368,0.312156467,0.191342422,0.635044897,4.304950383,0.168673854,2.422608696,0.076806957,0.516019789,0.024324945,0.07046151,0.189431426,0.037234224,0.055721427,0.038320402,0.269230552,0.682981298,0.001497769,0.000185914,0.000715616,0.00114187,0.017892326,0.016108636,0.002685921,0.006645107,0.229012502
